,coef_weight_0,coef_weight_1,coef_weight_2,coef_weight_3,coef_weight_4,coef_weight_mean,label,abs(cwm)
6701,0.005187434940931442,0.0009841851991526907,0.0,0.0,0.007944136736702289,0.002823151375357284,P2:6244,0.002823151375357284
2541,0.0,0.0,0.0,0.0,-0.014086239343017115,-0.002817247868603423,P5 gd:118,0.002817247868603423
14130,0.0,0.0,0.014078863331980662,0.0,0.0,0.0028157726663961325,P1:21814,0.0028157726663961325
1670,0.0,-0.01153477010116221,-0.002479244688609936,0.0,0.0,-0.002802802957954429,P5 gd:962,0.002802802957954429
984,-0.0017367567722377305,-0.0018472704672133527,0.0,-0.010426348218124553,0.0,-0.0028020750915151273,P7 Mono:4178,0.0028020750915151273
14487,0.0,-0.01399744549883701,0.0,0.0,0.0,-0.0027994890997674023,P1:20784,0.0027994890997674023
2689,0.0,0.0,0.0,-0.0022162155799971125,-0.011750402851010639,-0.00279332368620155,P5 CD8:35,0.00279332368620155
1604,0.0,-0.013929582295676682,0.0,0.0,0.0,-0.0027859164591353363,P6 earlyB:211,0.0027859164591353363
7246,0.0,0.0,-0.01392586630097724,0.0,0.0,-0.002785173260195448,P2:2811,0.002785173260195448
15119,0.0,0.0,0.0,0.013915024590457003,0.0,0.0027830049180914006,P1:12357,0.0027830049180914006
4336,-0.01390039420132442,0.0,0.0,0.0,0.0,-0.002780078840264884,P3:6590,0.002780078840264884
8263,0.0,0.0,-0.013870042954614742,0.0,0.0,-0.0027740085909229483,P2:24464,0.0027740085909229483
2182,0.00825538933030524,0.0,0.0,0.0016066862587500448,0.003978023364468226,0.0027680197907047023,P5 gd:201,0.0027680197907047023
15953,0.0,0.0,-0.0038788096689325938,-0.009940768371485031,0.0,-0.002763915608083525,MFI:13,0.002763915608083525
14650,-0.00590905162957366,0.0,-0.007866733187440415,0.0,0.0,-0.002755156963402815,P1:20270,0.002755156963402815
14430,0.0,0.0072396321891747065,0.0,0.006511599132481349,0.0,0.002750246264331211,P1:20900,0.002750246264331211
15439,0.0,0.0,-0.013743178154191326,0.0,0.0,-0.0027486356308382654,P1:10292,0.0027486356308382654
1574,0.0,0.013699864375523929,0.0,0.0,0.0,0.0027399728751047858,P6 earlyB:41,0.0027399728751047858
1655,-0.0045812967300945025,-0.009104887665125188,0.0,0.0,0.0,-0.002737236879043938,P5 gd:989,0.002737236879043938
15438,0.0,0.0,-0.0136837053784968,0.0,0.0,-0.00273674107569936,P1:10293,0.00273674107569936
6737,0.008342921621935737,0.0,0.0,0.0,0.00532666537079203,0.0027339173985455535,P2:5860,0.0027339173985455535
1455,0.0,0.0,0.0,-0.012054876280872715,-0.0016110974842539953,-0.002733194753025342,P6:242,0.002733194753025342
1545,0.0,0.0,0.013664525988048015,0.0,0.0,0.002732905197609603,P6 earlyB:8,0.002732905197609603
11791,0.0,-0.013656980511736357,0.0,0.0,0.0,-0.0027313961023472714,P1:6030,0.0027313961023472714
15039,-0.013630807008244313,0.0,0.0,0.0,0.0,-0.0027261614016488626,P1:12844,0.0027261614016488626
1814,0.0,0.008869642060499552,0.004728258829503644,0.0,0.0,0.002719580178000639,P5 gd:739,0.002719580178000639
6281,0.0,0.0,0.013597197426087186,0.0,0.0,0.002719439485217437,P2:8464,0.002719439485217437
15036,-0.01352885711387406,0.0,0.0,0.0,0.0,-0.0027057714227748117,P1:12847,0.0027057714227748117
15887,-0.0085079701784805,0.0,-0.005015077466512804,0.0,0.0,-0.0027046095289986606,MFI:20,0.0027046095289986606
8030,-0.013466694068231288,0.0,0.0,0.0,0.0,-0.0026933388136462576,P2:25005,0.0026933388136462576
14260,0.008752747256203617,0.0,0.0,0.0,0.004713679788955988,0.002693285409031921,P1:21491,0.002693285409031921
1699,-0.011468519083596635,0.0,0.0,0.0,-0.001915831890288749,-0.002676870194777077,P5 gd:919,0.002676870194777077
12413,-0.006075224079362137,0.0,-0.001714578159708759,0.0,-0.005586147770939569,-0.002675190002002093,P1:3316,0.002675190002002093
14206,0.0,0.004687719309734487,0.003951216374038321,0.0047220395212108374,0.0,0.002672195040996729,P1:21586,0.002672195040996729
6046,-0.00397927806852381,0.0,-0.0031304867059389935,-0.006249554902687117,0.0,-0.0026718639354299844,P2:9114,0.0026718639354299844
1497,0.0,0.0,-0.013356492242737484,0.0,0.0,-0.002671298448547497,P6:165,0.002671298448547497
3653,-0.0033767803658246573,-0.00993260306851676,0.0,0.0,0.0,-0.0026618766868682837,P3:874,0.0026618766868682837
8126,0.0,0.0,-0.013294756837761516,0.0,0.0,-0.0026589513675523034,P2:24788,0.0026589513675523034
13763,0.0,-0.013234554025503577,0.0,0.0,0.0,-0.0026469108051007154,P1:22862,0.0026469108051007154
8622,0.0,0.0,0.0,-0.013168255302175809,0.0,-0.002633651060435162,P2:23609,0.002633651060435162
9741,0.0,0.0,-0.013159092902680013,0.0,0.0,-0.0026318185805360027,P2:2060,0.0026318185805360027
3854,0.0,-0.013150895440972527,0.0,0.0,0.0,-0.0026301790881945054,P3:833,0.0026301790881945054
3483,0.0,0.0,-0.013147311740193967,0.0,0.0,-0.0026294623480387935,P4:3475,0.0026294623480387935
9172,-0.006028106430002338,0.0,-0.004310693895340923,-0.0014636425970597556,-0.0013322232697689422,-0.0026269332384343917,P2:22104,0.0026269332384343917
14008,0.0,0.0,0.0,-0.013115825978695005,0.0,-0.0026231651957390007,P1:22141,0.0026231651957390007
9792,0.010054088104579445,0.0,0.0030271432632271683,0.0,0.0,0.002616246273561323,P2:20528,0.002616246273561323
2273,0.0,0.005468315687237784,0.007597208044609138,0.0,0.0,0.0026131047463693845,P5 gd:1823,0.0026131047463693845
5643,0.0,-0.0129319686984554,-0.0001235329489852288,0.0,0.0,-0.0026111003294881255,P3:1807,0.0026111003294881255
13069,0.0,0.01304711622953557,0.0,0.0,0.0,0.002609423245907114,P1:25115,0.002609423245907114
15662,0.0,0.0,0.0,0.013044578236401807,0.0,0.0026089156472803615,MFI:503,0.0026089156472803615
6245,-0.004726257446099725,0.0,0.0,-0.008304810284472743,0.0,-0.0026062135461144935,P2:8556,0.0026062135461144935
15502,0.0,-0.003102034600274075,0.0,-0.009923161972293081,0.0,-0.0026050393145134313,MFI:88,0.0026050393145134313
11322,0.0,0.0022319538592555413,0.00356674991267723,0.00032279591441188027,0.006900245855965421,0.0026043491084620147,P1:7968,0.0026043491084620147
14938,0.0,-0.01301304331040775,0.0,0.0,0.0,-0.00260260866208155,P1:13386,0.00260260866208155
16014,0.0,0.0,0.0,-0.012997684099988917,0.0,-0.0025995368199977836,Lin:2,0.0025995368199977836
1750,-0.0035999658340983348,0.0,-0.0010708442195909477,0.0,-0.008325940800588535,-0.0025993501708555635,P5 gd:835,0.0025993501708555635
3006,0.0,0.0,0.0,0.0,-0.012969502273496091,-0.002593900454699218,P4:5770,0.002593900454699218
