,C,fit_intercept,l1_ratio,max_iter,n_jobs,penalty,solver,avg_neg_mae
217,0.6500000000000001,True,0.1,100,15,elasticnet,saga,-0.14308604038630374
218,0.6500000000000001,True,0.15000000000000002,100,15,elasticnet,saga,-0.14161545215100962
219,0.6500000000000001,True,0.2,100,15,elasticnet,saga,-0.14161545215100962
220,0.6500000000000001,True,0.25,100,15,elasticnet,saga,-0.14014486391571554
221,0.6500000000000001,True,0.3,100,15,elasticnet,saga,-0.13866330114135206
222,0.6500000000000001,True,0.35000000000000003,100,15,elasticnet,saga,-0.13719271290605795
223,0.6500000000000001,True,0.4,100,15,elasticnet,saga,-0.13719271290605795
224,0.6500000000000001,True,0.45,100,15,elasticnet,saga,-0.13571115013169446
225,0.6500000000000001,True,0.5,100,15,elasticnet,saga,-0.13496488147497804
226,0.6500000000000001,True,0.55,100,15,elasticnet,saga,-0.13496488147497804
227,0.6500000000000001,True,0.6000000000000001,100,15,elasticnet,saga,-0.1357001755926251
228,0.6500000000000001,True,0.6500000000000001,100,15,elasticnet,saga,-0.1357001755926251
229,0.6500000000000001,True,0.7000000000000001,100,15,elasticnet,saga,-0.1357001755926251
230,0.6500000000000001,True,0.7500000000000001,100,15,elasticnet,saga,-0.1357001755926251
231,0.6500000000000001,True,0.8,100,15,elasticnet,saga,-0.1357001755926251
232,0.6500000000000001,True,0.8500000000000001,100,15,elasticnet,saga,-0.13496488147497804
233,0.6500000000000001,True,0.9000000000000001,100,15,elasticnet,saga,-0.13348331870061458
234,0.7000000000000001,True,0.05,100,15,elasticnet,saga,-0.14382133450395082
235,0.7000000000000001,True,0.1,100,15,elasticnet,saga,-0.14308604038630374
236,0.7000000000000001,True,0.15000000000000002,100,15,elasticnet,saga,-0.14161545215100962
237,0.7000000000000001,True,0.2,100,15,elasticnet,saga,-0.14161545215100962
238,0.7000000000000001,True,0.25,100,15,elasticnet,saga,-0.14014486391571554
239,0.7000000000000001,True,0.3,100,15,elasticnet,saga,-0.13940956979806848
240,0.7000000000000001,True,0.35000000000000003,100,15,elasticnet,saga,-0.1386742756804214
241,0.7000000000000001,True,0.4,100,15,elasticnet,saga,-0.13719271290605795
242,0.7000000000000001,True,0.45,100,15,elasticnet,saga,-0.13644644424934152
