,feature_name,nlog_p_0,nlog_p_1,nlog_p_2,nlog_p_3,nlog_p_4,nlog_p_5,Trait ID,Subset or Surface Protein,Full Subset Name,max_nlog_p
138,P4:4794,23.510798050473657,0.2928049551136188,7.591511786646389,5.79077874331217,0.019474807976723,4.457350217237575,P4:4794,CD2+314+334+337+158a-R7-,56+16-/CD2+314+334+337+158a-R7-,7.591511786646389
245,P5 gd:10,17.617713014505078,0.2357311104628876,7.579625109258857,5.429545352624977,0.1207603157326785,0.21010724538134,P5 gd:10,8-27-28+RA-R5+R7-,CD3 T/VD1/8-27-28+RA-R5+R7-,7.579625109258857
252,P5 gd:348,20.771455495969644,0.144099404717144,7.5341926658312675,4.944276319824996,0.0295588352544354,0.2436765409127162,P5 gd:348,RA-R5+R7-,CD3 T/VD1/RA-R5+R7-,7.5341926658312675
61,P2:812,0.2313681175662653,0.3599920404107777,7.528975568672169,5.823740143668403,0.654593798971742,0.8880946974097726,P2:812,25+38-39+73-127-DR-PD1+RO-,DNT/25+38-39+73-127-DR-PD1+RO-,7.528975568672169
255,P5 gd:355,19.32794755960657,0.1610726327742465,7.459840498247203,5.333677368577804,0.0581111679562885,0.1670377945176868,P5 gd:355,28+RA-R5+R7-,CD3 T/VD1/28+RA-R5+R7-,7.459840498247203
249,P5 gd:344,18.64833800781889,0.2189695825964086,7.437949792050787,4.719873046348443,0.1266835649555184,0.1932765030529794,P5 gd:344,8-27-RA-R5+R7-,CD3 T/VD1/8-27-RA-R5+R7-,7.437949792050787
89,P4:4435,0.3896175128315975,0.2943048244223351,7.390721923222894,5.749290704959268,0.4919123989738101,0.3630260850718997,P4:4435,CD2-314+334+337+158b+R7+,16+56/CD2-314+334+337+158b+R7+,7.390721923222894
88,P4:4432,0.3896175128315975,0.2943048244223351,7.390721923222894,5.749290704959268,0.4919123989738101,0.3630260850718997,P4:4432,CD2-334+337+158b+R7+,16+56/CD2-334+337+158b+R7+,7.390721923222894
87,P4:4426,0.3896175128315975,0.2943048244223351,7.390721923222894,5.749290704959268,0.4919123989738101,0.3630260850718997,P4:4426,CD2-314+337+158b+R7+,16+56/CD2-314+337+158b+R7+,7.390721923222894
86,P4:4423,0.3896175128315975,0.2943048244223351,7.390721923222894,5.749290704959268,0.4919123989738101,0.3630260850718997,P4:4423,CD2-337+158b+R7+,16+56/CD2-337+158b+R7+,7.390721923222894
48,P1:53,3.1389799896962285,0.0093020166689183,7.318790059459702,5.813763220466753,0.5989541946814765,0.2157485590470788,P1:53,27+28-31+57-95+127-244+RA-,DPT/27+28-31+57-95+127-244+RA-,7.318790059459702
15,P1:19331,2.640404557337727,0.066397063706303,7.309749464959247,6.150399001535216,0.2519804300949883,0.1688900551660525,P1:19331,27+57+95-127-244+RA+,DNT/27+57+95-127-244+RA+,7.309749464959247
14,P1:19328,2.628357229349916,0.0713226807817043,7.26759286332865,6.131066146867619,0.2468896298127277,0.1488207270269106,P1:19328,27+28-57+95-127-244+RA+,DNT/27+28-57+95-127-244+RA+,7.26759286332865
